topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
 ,0.017,0.015,0.012,0.01,0.01,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic26,heisst,studi,bericht,expert,untersuch,ergebnis,gutacht,veroffentlicht,rat,papi,institut,empfehl,vorgelegt,pruf,unabhang,uberpruf,fehl,analys,information,untersucht,offent,gegeb,wissenschaftl,schreib,darin,sollt,arbeit,zud,genannt,list,mangel,tatsach,hinweis,auftrag,hervor,prufung,erheb,ansicht,genau,wissenschaft,laut,schluss,einschatz,stellt,festgestellt,vorlieg,erkenntnis,enthalt,nehm,zustand,kritisch,ministerium,einzeln,bewert,intern,dat,veroffentlich,forsch,umfass,stell,seit,ergeb,falsch,autor,uberpruft,grundlag,erstellt,eingesetzt,weis,klar,konsequenz,zufolg,verantwort,ausreich,gepruft,danach,thema,sachverstand,stammzell,kommission,meinung,konkret,zusammenhang,ausserd,vorgestellt,report,berat,folg,fest,erklar,fachleut,deshalb,bekannt,verschied,rechnungshof,haufig,zweifel,diskussion,stellungnahm,gremium
 ,0.026,0.025,0.02,0.019,0.018,0.014,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic27,geld,millionen_mark,finanziell,bund,million,mittel,kommun,hilf,erhalt,kost,milliard,millionen_euro,summ,finanzier,zusatz,kredit,milliarden_euro,forder,jahrlich,staatlich,schuld,betrag,zahlung,finanziert,verfug,allein,gemeind,milliarden_mark,programm,kommunal,stadt,finanzi,fliess,kass,knapp,ausgegeb,ausgab,halft,gestellt,unterstutz,bekomm,einnahm,zugesagt,zuschuss,bezahl,projekt,gefordert,sollt,gezahlt,gewahrt,rechnung,bezahlt,mitteln,trag,mindest,darleh,benotigt,ausserd,offent,beteil,fallig,finanzhilf,beitrag,subvention,leist,verteil,vorgeseh,haushalt,auszahl,verwend,verwalt,zahlt,dringend,ruckzahl,ubernehm,stadtetag,investition,verwendet,geschatzt,schatzung,zusag,erheb,drittel,verpflicht,anspruch,umfang,steuerzahl,aufgab,last,helf,bereitgestellt,vereinbart,rahm,zud,uberweis,laufend,notig,verschuldet,ausgeb,ford
 ,0.052,0.021,0.019,0.019,0.016,0.016,0.015,0.015,0.015,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic28,mal,mann,alt,bild,nam,welt,leb,lieb,leut,erzahlt,buch,paar,jahrig,gern,mensch,haus,geschicht,rot,freund,vielleicht,art,natur,blau,nie,kunst,aug,wer,ja,kopf,gesicht,erinnert,grau,beruhmt,minut,arbeit,einfach,stolz,les,hand,stund,manchmal,herr,nacht,einst,morg,platz,sitzt,farb,lasst,wort,stuck,weiss,sag,kolleg,seh,kommt,musik,haar,gast,reich,gehort,uhr,blick,bunt,kennt,herz,englisch,wand,kenn,strass,ide,gerad,traum,wirkt,buro,fragt,tragt,meist,oft,star,gar,journalist,damal,bekannt,kunstl,schwarz,bissch,all,wohl,band,heisst,sogar,himmel,eigent,wiss,dunkl,hort,spass,foto,arm
 ,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic29,schreibt,angst,meint,wirklich,fehl,verantwort,gefahr,niemand,schlimm,zeitung,kommentiert,press,opf,leid,schad,versuch,tun,tat,nie,schwer,aug,moral,vertrau,gewalt,offent,wahrheit,recht,vielleicht,wort,tatsach,glaubwurd,geschicht,wiss,geword,tief,einzig,falsch,daran,hoffnung,verhalt,anzeig,glaub,hand,zieh,tageszeit,zeig,gewiss,wahr,scheint,gefuhl,endlich,vollig,leb,wer,einfach,verlor,bitt,sag,folg,ereignis,chaos,gescheh,zeigt,getan,beweis,all,schlag,erklar,schicksal,genug,warum,konsequenz,reaktion,darf,vergess,blick,situation,wed,bos,rett,art,schluss,erschein,schweig,handeln,gemacht,versag,offensicht,versucht,furcht,gezeigt,eindruck,lug,letzt,nachricht,anseh,bewusst,skandal,fuhl,bild
 ,0.011,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic30,sz,ja,wer,sag,richtig,gar,wiss,tun,warum,natur,einfach,genau,wirklich,deshalb,kommt,klar,mal,vielleicht,eigent,uberhaupt,nein,seh,beispiel,bess,gerad,glaub,probl,leut,niemand,wohl,daran,sach,herr,darub,geld,mocht,gesagt,brauch,eben,antwort,darf,thema,gleich,tatsach,heisst,red,bekomm,genug,denk,braucht,schnell,falsch,jemand,nie,find,nehm,gemacht,lasst,wann,lieb,schliesslich,ding,schlecht,ubrig,gern,interview,trotzd,darum,oft,versteh,sogar,recht,jedenfall,namlich,sinn,bleibt,liegt,paar,eher,erfahr,lang,desweg,passiert,fragt,leid,sollt,spricht,and,durchaus,ziemlich,hor,kaum,stimmt,kenn,stell,zumind,bleib,vollig,vorh,gewiss
 ,0.021,0.02,0.019,0.017,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic31,airbus,lufthansa,flughaf,flugzeug,fluggesellschaft,maschin,boeing,flug,ead,airlin,tui,luft,air,dasa,reis,passagi,frankfurt,pilot,start,tourist,flieg,gesellschaft,munch,jet,lloyd,auftrag,partn,luftfahrt,fluglini,ltu,air_france,reiseveranstalt,flugzeugbau,swissair,klm,british_airways,airport,raumfahrt,ba,swiss,hapag,delta,sitz,luftverkehr,streck,thomas_cook,preussag,tocht,billigflieg,bestell,amerikan,fraport,main,reiseburos,fokk,flott,tourismus,dorni,ziel,ryanair,bestellt,konkurrent,programm,bord,satellit,angebot,typ,konsortium,beteiligt,million,fluggast,europas,verbind,fliegt,kund,konkurrenz,toulous,zivil,flugverkehr,bae,veranstalt,condor,air_berlin,teilt,zud,bau,neb,airways,franzos,kapazitat,septemb,buchung,mtu,cockpit,sabena,iberia,flugzeugherstell,reisend,sas,terroranschlag
 ,0.022,0.022,0.021,0.019,0.016,0.014,0.012,0.012,0.011,0.01,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic32,bund,milliarden_mark,haushalt,finanzminist,eichel,defizit,bundesregier,milliard,milliarden_euro,ausgab,waigel,erhoh,kurzung,etat,einspar,koalition,finanzpolit,zusatz,minist,einnahm,stabilitatspakt,steinbruck,steuererhoh,abbau,steu,steuerreform,senkung,neuverschuld,spar,finanzministerium,bundeshaushalt,nächsten_jahr,steuersenk,bonn,sparpaket,entlast,kommenden_jahr,finanzier,angesicht,okosteu,steuereinnahm,senk,gemeind,bundesfinanzminister_hans_eichel,schuld,finanz,massnahm,investition,haushaltsdefizit,opposition,plan,vorgeseh,haushaltspolit,beschloss,bundesfinanzminister_theo_waigel,spielraum,budget,subvention,ziel,reform,erreich,maastricht,einhalt,sparkur,offent,verschuld,finanzminister_hans_eichel,bundesfinanzministerium,bundesfinanzminist,mittelfrist,steuerschatz,strikt,pakt,erneut,belast,mehrwertsteu,kriteri,finanzplan,ausgeg,csu,rot,angekundigt,kabinett,lieg,erhoht,konjunktur,verlangt,erhöhung_der_mehrwertsteuer,zugleich,staatshaushalt,drastisch,ministerium,sparmassnahm,einschnitt,gesenkt,finanzi,trotz,vorschlag,bring,gekurzt
 ,0.023,0.022,0.02,0.02,0.016,0.014,0.013,0.012,0.012,0.012,0.01,0.009,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic33,irak,un,uno,bosni,krieg,sicherheitsrat,serbisch,bagdad,serb,resolution,vereinten_nationen,kroatisch,bosnisch,new_york,kroati,sarajevo,jugoslawi,moslem,zagreb,saddam,saddam_hussein,trupp,kuwait,amerikan,militar,genf,diplomat,sanktion,angriff,herzegowina,belgrad,annan,kroat,generalsekretar,bosnischen_serben,aussenminist,weltsicherheitsrat,konflikt,botschaft,golfkrieg,kriegsverbrech,fried,fuhrung,serbi,blauhelm,gebiet,waff,stadt,friedenstrupp,den_haag,general,tribunal,karadzic,alliiert,luftangriff,mitglied,generalsekretär_kofi_annan,standig,wiederaufbau,muslim,vollversamml,massenvernichtungswaff,washington,golf,waffenstillstand,mission,mostar,sarajewo,frankreich,balkan,abzug,ghali,westlich,dayton,rest,enklav,humanitar,friedensplan,region,grossbritanni,regim,beobacht,rat,srebrenica,schwer,diktator,bevolker,ruckkehr,hauptquarti,krajina,sofort,republ,militarschlag,aktion,foderation,ruckzug,rundfunk,plan,bihac,unterstutz
 ,0.081,0.047,0.028,0.025,0.019,0.014,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic34,mitarbeit,beschaftigt,arbeitsplatz,stell,werk,standort,verlust,betroff,betriebsrat,abbau,entlass,treuhand,erhalt,sanier,belegschaft,schliessung,betrieb,konz,insolvenz,angekundigt,stellenabbau,arbeit,geschloss,plan,pleit,vorstand,konkur,angeschlag,glaubig,management,abgebaut,produktion,gestrich,kost,personal,millionen_euro,streich,geschaftsfuhr,personalabbau,zukunft,schliess,munch,bochum,aeg,ubernomm,kundig,konzern,konzept,einspar,insolvenzverwalt,massnahm,kundigt,wegfall,reduziert,umstrukturier,rettung,drastisch,verwalt,teilt,gesichert,bvs,vertrag,gestellt,hiess,job,ehemal,bleib,bereich,bedroht,insolvenzverfahr,zentral,abfind,zahlungsunfah,arbeitnehmervertret,investor,finanziell,zud,verkauf,gmbh,firma,einschnitt,eingestellt,jahres,benq,massiv,treuhandanstalt,angestellt,insolvent,schwierig,gefahrdet,burgschaft,restrukturier,abgeschloss,halft,sanierungsplan,hart,sanierungskonzept,streicht,fertig,fabrik
 ,0.048,0.03,0.026,0.026,0.016,0.014,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic35,energi,rwe,strom,anlag,gas,eon,transport,kraftwerk,on,versorg,ess,atomkraftwerk,energieversorg,ausstieg,kernkraftwerk,rag,reaktor,kohl,ruhrgas,betreib,gorleb,betrieb,castor,enbw,bau,netz,stadtwerk,energiepolit,stromversorg,entsorg,abfall,genehm,kernenergi,behalt,atommull,radioaktiv,erdgas,wettbewerb,strompreis,edf,energiekonzern,energiekonz,bundesregier,bewag,veba,bergbau,stromerzeug,tschernobyl,strommarkt,dusseldorf,steinkohl,vattenfall,zwischenlag,hew,trittin,atomausstieg,megawatt,ag,veag,energiewirtschaft,atomenergi,wass,konzern,umweltministerium,niedersachs,grun,brennelement,atom,liberalisier,vertrag,kilowattstund,warm,gazprom,energiemarkt,atomkraft,stromkonzern,hannov,mull,langfrist,endesa,nutzung,anteil,endlag,laufzeit,braunkohl,kommunal,pow,tonn,erneuerbar,alternativ,energy,umweltminist,vew,energietrag,atomkraftgegn,hanau,wind,kernkraft,abgeschaltet,ausbau
 ,0.016,0.016,0.015,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic36,zeitung,bericht,berichtet,zufolg,medi,spiegel,laut,bestatigt,information,interview,samstag,hamburg,blatt,woll,bild,vorab,schreibt,angeb,magazin,wonach,zitiert,info,hiess,focus,tageszeit,schrieb,sprecherin,sperrfrist,erschein,dementiert,spekulation,nachrichtenmagazin,beruf,ubermittelt,unterdess,zeitungsbericht,berliner_zeitung,wies,darstell,welt_am_sonntag,genannt,entsprech,wochenendzusammenfass,ausgab,stern,wochen,bestat,offenbar,medienbericht,veroffentlicht,anfrag,gegeb,beitrag,moglicherweis,press,stellungnahm,demnach,tagesspiegel,gerucht,meldung,bezeichnet,wed,sollt,bild_am_sonntag,zuruckgewies,redaktioneller_fassung,pressebericht,gesagt,financial_times_deutschland,brief,ministerium,danach,dpa_in_redaktioneller_fassung,schreib,plant,auss,kreis,nehm,gestellt,kommenti,bekannt,wollt,samstagausgab,dementi,süddeutschen_zeitung,stellung,erwagt,kommentar,vergangenen_woche,intern,montagausgab,mittwochausgab,lehnt,freitagausgab,donnerstagausgab,zusammenhang,informiert,osnabruck,nannt,dienstagausgab
 ,0.064,0.057,0.053,0.024,0.024,0.022,0.021,0.02,0.019,0.017,0.015,0.015,0.015,0.015,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic37,pol,polnisch,warschau,opf,histor,bundesprasident,geschicht,judisch,ehemal,jud,red,jahrestag,gorbatschow,vergang,stiftung,person,alt,holocaust,freiheit,entschad,leb,symbol,ns,erinnert,damal,anlass,burg,solidaritat,wurdigt,volk,nazi,bundesrepubl,vorsitz,ausgezeichnet,mensch,wort,zweiten_weltkrieg,hitl,nam,zwangsarbeit,krieg,erinner,auszeichn,gehort,ehr,weizsack,besond,gestorb,demokrati,gemeind,versohn,sprach,erhalt,feiern,zentrum,geburtstag,vertret,verlieh,weimar,bild,letzt,kommunist,feierlich,staatsoberhaupt,bundespräsident_roman_herzog,antisemitismus,gedenk,staatsprasident,vertrieb,verdien,feier,schloss,gemeinsam,bezieh,gedacht,tod,grab,nahm,friedman,sowjet,vergeb,mai,kaczynski,nazis,auschwitz,gedenkstatt,mind,nationalsozialist,gerecht,gast,fried,vertreib,gewurdigt,zeich,zloty,empfang,verhaltnis,schriftstell,kultur,kriegsend
 ,0.03,0.025,0.015,0.011,0.01,0.009,0.009,0.009,0.009,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic38,liegt,platz,schweiz,hoch,knapp,vergleich,anteil,zurich,besond,meist,lieg,sogar,wert,drittel,erreicht,kommt,durft,gegenub,vergangenen_jahr,durchschnitt,gering,halft,letzt,inzwisch,rang,pro,trotz,bleibt,kam,allein,zeigt,abstand,fuhrt,vergang,laut,relativ,gleich,obwohl,kaum,folg,spitz,gesamt,doppelt,ledig,bedeut,gefolgt,viertel,bern,gemess,frank,jeweil,jung,dennoch,ubrig,folgt,immerhin,gilt,nimmt,belegt,unterschied,klein,schweizer,list,statist,zahlt,deshalb,mittlerweil,bess,schnitt,zweit,schlecht,ebenfall,entspricht,ahnlich,kopf,best,stell,zuletzt,nahezu,erheb,ging,verhaltnis,zusamm,hingeg,je,gewicht,ausnahm,dritt,stand,eher,verlor,neb,innerhalb,erfolg,vergangenen_jahren,leicht,absolut,wesent,rangiert,nah
 ,0.024,0.024,0.02,0.017,0.015,0.015,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic39,schul,universitat,student,lehr,ausbild,hochschul,bildung,stiftung,jugend,wissenschaft,professor,beruf,institut,forschung,bund,studium,bewerb,bess,lehrstell,studi,programm,wissenschaftl,arbeit,lern,unterricht,bafog,forder,stell,ausbildungsplatz,gefordert,angebot,betrieb,fach,sollt,sprach,abschluss,ford,akadem,bildungspolit,kultusminist,studiengebuhr,besond,erhalt,bundesweit,einricht,pisa,ruttg,bulmahn,uni,ausgebildet,bundesland,elt,bonn,jung,ingenieur,gew,ausland,gesellschaft,qualifiziert,abitur,zusatz,kultur,sozial,leistung,statt,padagog,weiterbild,fachkraft,fachhochschul,elit,einfuhr,meist,gemeinsam,mathemat,forsch,klass,initiativ,schlecht,mangel,auszubild,wiss,absolvent,brauch,kind,lehrling,qualitat,chanc,zud,vorsitz,zugleich,zweit,prof,grundschul,lang,akademi,mba,teilnehm,sem,schaff,staatlich
 ,0.032,0.021,0.014,0.013,0.013,0.012,0.011,0.01,0.01,0.01,0.01,0.008,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic40,ost,west,ostdeutsch,ostdeutschland,bonn,neuen_ländern,ddr,wohnung,neuen_bundesländern,westdeutsch,bau,million,miet,westdeutschland,einheit,forder,neuen_länder,alt,besond,bundesrepubl,wend,leipzig,unterschied,wohnungsbau,gegenub,lieg,erreicht,knapp,neuen_bundesländer,alten_bundesländern,hall,erheb,betrieb,sozial,wiederverein,milliarden_dm,dresd,verein,aufbau,bauwirtschaft,pro,aufbau_ost,durchschnitt,allein,region,inzwisch,offent,gleich,gering,vermiet,weiterhin,ansicht,hoch,solidarpakt,burg,regional,alten_ländern,ehemaligen_ddr,anhalt,ging,laut,je,trotz,niveau,gesamt,meint,westlich,bundesweit,situation,drittel,gewerb,aufgrund,mittel,gesamtdeutsch,bestand,deutschen_einheit,zunehm,insbesond,einwohn,angleich,haushalt,verband,bundesgebiet,erhoht,wesent,topf,anteil,entsprech,sogar,modernisier,allgemein,haus,entwickl,bauindustri,baugewerb,gegenwart,einkomm,bundesland,halft,verstarkt
 ,0.078,0.054,0.026,0.026,0.016,0.016,0.015,0.015,0.015,0.013,0.011,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
